axel;tabaco;38.333333333333336;2.24531197548
axel;lana;12.666666666666666;1.47631812096
axel;mala;19.333333333333332;1.35022807121
axel;rumbo;33.4;2.18352413177
axel;mapa;27;1.6338160038
axel;puso;27.25;1.71420097351
axel;feo;16.666666666666668;1.59705591202
axel;comadreja;45.55555555555556;2.41351699829
axel;vacuna;23.833333333333332;1.92542099953
axel;virar;24.8;1.84275603294
axel;ala;15.5;1.19904184341
axel;asa;23;1.1698410511
axel;orangutan;22.88888888888889;2.37242102623
axel;habito;33.5;1.99170207977
axel;tasa;41.666666666666664;1.61132693291
axel;ron;29.666666666666668;1.61216378212
axel;hachas;27.5;1.94918012619
axel;rio;20.666666666666668;2.12646389008
axel;oso;23.666666666666668;1.32919001579
axel;ramal;37.8;1.66880202293
axel;pua;27.666666666666668;1.54595518112
axel;comadreja;55.45454545454545;2.93663191795
axel;pan;28.666666666666668;1.47433400154
axel;tio;22;1.54244399071
axel;natillas;30.125;4.30809807777
axel;hipopotamo;25.6;3.16945695877
axel;oca;25.5;1.43876791
axel;habito;35.666666666666664;1.92815709114
axel;baboso;30.5;1.90167212486
axel;oliva;23.5;1.9150660038
axel;tablas;46.166666666666664;1.96825790405
axel;rio;21.666666666666668;1.63076996803
axel;venir;21.8;1.69876503944
axel;vocablo;28.142857142857142;2.14131808281
axel;talla;34;1.81977009773
axel;afroamericanos;53.07142857142857;3.05187797546
axel;ajo;26.333333333333332;1.47431397438
axel;mama;16.666666666666668;1.33584403992
axel;pie;21.333333333333332;3.16698789597
axel;mala;23;1.36622190475
axel;rama;11.333333333333334;1.40232801437
axel;afroamericanos;24.571428571428573;3.85133290291
axel;limbo;23.6;1.8986530304
axel;fabada;27.333333333333332;2.04847002029
axel;quemar;22.9;3.948346138
axel;lama;24.75;1.47672080994
axel;oca;28;1.45106506348
axel;rumbo;22.4;2.02998304367
axel;lata;29.666666666666668;1.73883104324
axel;tabaco;32.5;1.90614295006
axel;habana;30.875;3.54189014435
axel;atado;19.2;4.0604159832
axel;lavavajillas;23.857142857142858;4.01195883751
axel;comadreja;25.444444444444443;4.08360695839
axel;virar;24.6;2.05013489723
axel;fabada;30.8;1.93973898888
axel;spray;22.6;2.35358405113
axel;sal;22;1.55524587631
axel;rata;23.5;5.35509204865
axel;sol;24.666666666666668;1.6653740406
martins;fisga;27;1.78155708313
axel;rinocerontes;39.916666666666664;3.89320802689
martins;lama;39.09090909090909;2.74611902237
axel;habito;33.333333333333336;2.74629020691
axel;flamear;32.714285714285715;2.47999000549
martins;objetos;40.6;5.47436904907
martins;tabaco;34;1.82353401184
axel;comadreja;22.88888888888889;2.36235713959
martins;uva;24.5;1.24185991287
axel;sol;22.666666666666668;1.34873104095
axel;limbo;24.2;1.85027098656
axel;lava;28.75;1.51415300369
axel;pie;21;1.38246297836
axel;danesa;33;1.86617207527
martins;tablas;86.16666666666667;2.87529015541
axel;feo;33.666666666666664;1.96515607834
martins;pie;24.333333333333332;1.27454304695
axel;fabada;29.6;1.94616794586
martins;rana;22.5;1.80904483795
axel;bar;31;1.49824905396
martins;ucranio;48;1.80607008934
axel;baboso;34;1.79410290718
martins;ucranio;32.90909090909091;3.19344091415
axel;oca;24;2.9595708847
martins;tio;33.333333333333336;1.30295300484
martins;sur;37;1.1514480114
axel;danesa;34;1.82603001595
martins;oso;23.666666666666668;1.22898793221
axel;ardor;23.2;1.65973877907
martins;par;24;1.72517514229
axel;ubicuo;24;2.30981898308
martins;rana;46.5;1.2589070797
axel;catre;22.4;1.82897615433
martins;paso;37;1.89495801926
axel;peso;22.5;1.60006904602
martins;flamear;27.333333333333332;2.32313799858
axel;berna;25.6;1.72898411751
martins;tanto;30.2;1.33575510979
axel;ubicado;19;2.08244299889
martins;pabellones;35.333333333333336;2.20805001259
axel;virar;37;2.07364201546
axel;dos;21.5;1.26958990097
martins;dancing;45.5;3.12611198425
axel;lava;22.25;1.52359819412
martins;voz;36.666666666666664;1.83733606339
axel;objetos;25.333333333333332;2.00212788582
martins;fabada;36.333333333333336;1.9168419838
axel;rabano;38.833333333333336;1.77079200745
martins;spray;38.4;1.5765850544
martins;sur;4.5;1.21468186378
axel;ubicado;21.714285714285715;2.20311498642
martins;puso;25.5;3.30326700211
axel;obispal;24.09090909090909;3.07208418846
martins;pan;28.285714285714285;1.90119886398
martins;uva;29.5;1.18669486046
axel;hipopotamo;23.3;3.31740307808
martins;col;40.666666666666664;1.21921491623
axel;mar;19.333333333333332;1.35054588318
martins;natillas;47.125;1.8264811039
axel;ron;28.333333333333332;1.55179286003
martins;rama;25;1.43352198601
axel;ola;19;1.33002901077
martins;res;29.666666666666668;1.40868902206
axel;vibraba;39.42857142857143;2.01219892502
martins;sur;31;1.21684598923
axel;edicto;22;1.88413786888
martins;aduar;12.75;1.54684686661
martins;rata;56;1.50497794151
axel;ubicuo;19.875;3.45228290558
martins;ornitorrinco;49.357142857142854;3.27342891693
axel;agape;27.6;2.10264992714
martins;ubicuo;29.333333333333332;1.93922615051
axel;tos;23;1.43481993675
martins;asa;31.333333333333332;1.8858962059
axel;habito;38.166666666666664;1.84808087349
axel;res;42;1.30691385269
martins;edicto;34.333333333333336;2.48540019989
axel;aduar;25.6;1.78148913383
martins;ubicado;33.42857142857143;1.88661503792
axel;baboso;31.833333333333332;1.8471429348
martins;raya;50.5;1.31208896637
axel;dos;35;1.87236690521
martins;ola;30;1.44800591469
axel;ramal;36;1.60327482224
martins;peso;25;1.39063096046
martins;ala;6;1.11224794388
axel;mala;28.666666666666668;1.45611095428
